what,type
"Syahputra, MA. (2019). sensehubr: a tidy tools for sensory data analysis.",\textbf{R package}
"Syahputra, MA. (2019). bandungjuara: an R interface for accessing Open Data Kota Bandung.",\textbf{R package}
"Syahputra, MA. (2019). jakartaraya: an R interface for accessing Open Data Kota Jakarta.",\textbf{R package}
"Syahputra, MA. (2019). nusandata: a curated datasets about Indonesia.",\textbf{R package}
"Syahputra, MA. (2019). SenseQuest: an web application for sensory data collection.",\textbf{Web apps}
"Syahputra, MA. (2018). SenseHub: an integrated web application for sensory analysis.",\textbf{Web apps}
"Irawan, DE., Syahputra, MA. (2018). Aquastats: a web application for groundwater data analyses.",\textbf{Web apps}
"Irawan, DE., Syahputra, MA. (2018). Thermostats: a web application for hot water data analyses.",\textbf{Web apps}
"Syahputra, MA. (2018). MCDM: a shiny application for performing Multiple Criteria Decision Making (MCDM).",\textbf{Web apps}
