topic,when,event,where,why
Consumer Preference and Satisfaction Analysis on Croissant in Malang Area,2018,"Kuala Lumpur International Agriculture, Forestry & Plantation Conference (KLIAFP)","Selangor, Malaysia","Researchers: Jaya Mahar Maligan, Yuke Pamelasari, Muhammad Aswan Syahputra"
SenseHub: an integrated web application for sensory analyses,2018,International Coference on Green Agroindustry and Bioeconomic (ICGAB),"Malang, Indonesia","Researchers: Muhammad Aswan Syahputra, Kiki Fibrianto, Eka Shinta Wulandari"
Effects of Delivery Methods to Multisensory Perceptions: a Review,2016,Jurnal Pangan dan Agroindustri,"Malang, Indonesia","Researchers: Muhammad Aswan Syahputra, Kiki Fibrianto, Indria Purwantiningrum"
